Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.7940%,-0.006399999999999739,-0.6399999999999739,bp,-0.64bp,,,3.81315,3.79195,54,10
A. Rates,Nominal UST,UST 5Y,3.9453%,0.0030999999999998806,0.30999999999998806,bp,+0.31bp,,,3.9599,3.9405,63,20
A. Rates,Nominal UST,UST 10Y,4.3345%,0.005950000000000344,0.5950000000000344,bp,+0.60bp,,,4.3465,4.3236,64,30
A. Rates,Nominal UST,UST 30Y,4.9420%,0.006700000000000372,0.6700000000000372,bp,+0.67bp,,,4.9502,4.9322,71,40
A. Rates,Curve,UST 2s10s spread,54.05bp,1.4299999999999997,1.4299999999999997,bp,+1.43bp,,,54.530000000000015,52.32000000000001,51,60
A. Rates,Curve,UST 5s10s spread,38.92bp,0.2850000000000463,0.2850000000000463,bp,+0.29bp,,,39.195,38.309999999999974,58,70
A. Rates,Curve,UST 5s30s spread,99.66bp,0.3600000000000563,0.3600000000000563,bp,+0.36bp,,,99.93999999999997,98.78999999999998,62,80
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.7344,0.01171875,0.01171875,pts,+0.0117,0.00011298158400180771,+0.00%,103.73828125,103.69921875,85,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.1953,0.0234375,0.0234375,pts,+0.0234,0.00021666907410082333,+0.00%,108.1953125,108.109375,83,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,111.0625,-0.015625,-0.015625,pts,-0.0156,-0.00014066676044450696,-0.00%,111.09375,110.9375,85,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.6875,-0.0625,-0.0625,pts,-0.0625,-0.0005494505494505495,-0.00%,113.78125,113.53125,85,240
D. USD & FX,USD,DXY,98.4360,0.045000000000001705,0.045000000000001705,pts,+0.0450,0.00045735890477789333,+0.00%,98.496,98.391,80,310
D. USD & FX,FX,EURUSD,1.1724,-0.0007999999999999119,-7.999999999999119,pips,-8.00pips,-0.0006818956699624206,-0.00%,1.1732,1.172,100,320
D. USD & FX,FX,USDJPY,159.345,0.05000000000001137,5.000000000001137,pips,+5.00pips,0.00031388304717669337,+0.00%,159.465,159.295,100,330
D. USD & FX,FX,GBPUSD,1.3538,-0.0015000000000000568,-15.000000000000568,pips,-15.00pips,-0.001106725200132849,-0.00%,1.35535,1.35315,100,340
D. USD & FX,FX,AUDUSD,0.7193,5.0000000000105516e-05,0.5000000000010552,pips,+0.50pips,6.951685783817243e-05,+0.00%,0.7194,0.71815,100,350
E. RMB,RMB,USDCNH,6.8243,-0.0019499999999998963,-19.499999999998963,pips,-19.50pips,-0.00028566405906652254,-0.00%,6.82785,6.8222,100,420
F. Commodities,Commodities,Brent crude,108.0200,-0.20000000000000284,-0.20000000000000284,pts,-0.2000,-0.0018480872297172689,-0.00%,109.6,107.75,69,510
F. Commodities,Commodities,WTI crude,96.4400,0.3199999999999932,0.3199999999999932,pts,+0.3200,0.0033291718684976403,+0.00%,97.27,96.06,86,520
F. Commodities,Commodities,Gold,4698.3500,27.590000000000146,27.590000000000146,pts,+27.5900,0.005906961607961048,+0.01%,4700.325,4670.76,89,530
F. Commodities,Commodities,Copper,6.0310,0.030999999999999694,0.030999999999999694,pts,+0.0310,0.0051666666666666155,+0.01%,6.036,4.98,87,540
