Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.8043%,0.0017000000000000348,0.17000000000000348,bp,+0.17bp,,,3.81315,3.79195,112,10
A. Rates,Nominal UST,UST 5Y,3.9575%,0.01529999999999987,1.529999999999987,bp,+1.53bp,,,3.9599,3.9405,112,20
A. Rates,Nominal UST,UST 10Y,4.3435%,0.014949999999999797,1.4949999999999797,bp,+1.49bp,,,4.3485,4.3236,112,30
A. Rates,Nominal UST,UST 30Y,4.9528%,0.017549999999999955,1.7549999999999955,bp,+1.75bp,,,4.95535,4.9322,112,40
A. Rates,Curve,UST 2s10s spread,53.92bp,1.1299999999999812,1.1299999999999812,bp,+1.13bp,,,54.535,52.32000000000001,112,60
A. Rates,Curve,UST 5s10s spread,38.59bp,-0.0350000000000108,-0.0350000000000108,bp,-0.04bp,,,39.219999999999985,38.309999999999974,112,70
A. Rates,Curve,UST 5s30s spread,99.70bp,0.4000000000000057,0.4000000000000057,bp,+0.40bp,,,100.04999999999997,98.78999999999998,112,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3115%,0.0035000000000000586,0.35000000000000586,bp,+0.35bp,,,1.3185,1.2995,111,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8965%,0.013500000000000068,1.3500000000000068,bp,+1.35bp,,,1.8985,1.8815,112,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6985%,0.014000000000000234,1.4000000000000234,bp,+1.40bp,,,2.701,2.6815,112,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6443%,0.008299999999999752,0.8299999999999752,bp,+0.83bp,,,2.6476499999999996,2.6315,111,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4470%,0.0014499999999997293,0.14499999999997293,bp,+0.14bp,,,2.4545000000000003,2.4395499999999997,112,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2543%,0.00354999999999972,0.354999999999972,bp,+0.35bp,,,2.2580499999999994,2.2501999999999995,112,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.7148,-0.0078125,-0.0078125,pts,-0.0078,-7.532105600120513e-05,-0.00%,103.73828125,103.69921875,128,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.1328,-0.0390625,-0.0390625,pts,-0.0391,-0.00036111512350137223,-0.00%,108.1953125,108.109375,128,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,110.9688,-0.109375,-0.109375,pts,-0.1094,-0.0009846673231115486,-0.00%,111.09375,110.9375,128,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.4688,-0.28125,-0.28125,pts,-0.2812,-0.0024725274725274724,-0.00%,113.78125,113.46875,128,240
D. USD & FX,USD,DXY,98.5670,0.17599999999998772,0.17599999999998772,pts,+0.1760,0.0017887814942422347,+0.00%,98.575,98.391,124,310
D. USD & FX,FX,EURUSD,1.1712,-0.0020000000000000018,-20.000000000000018,pips,-20.00pips,-0.0017047391749062408,-0.00%,1.1732,1.1712,128,320
D. USD & FX,FX,USDJPY,159.535,0.2400000000000091,24.00000000000091,pips,+24.00pips,0.0015066386264478428,+0.00%,159.555,159.295,128,330
D. USD & FX,FX,GBPUSD,1.3523,-0.003049999999999997,-30.49999999999997,pips,-30.50pips,-0.0022503412402700386,-0.00%,1.35535,1.3523,128,340
D. USD & FX,FX,AUDUSD,0.7176,-0.0016499999999999293,-16.499999999999293,pips,-16.50pips,-0.0022940563086547507,-0.00%,0.7194,0.7176,128,350
E. RMB,RMB,USDCNY,6.8303,0.0016500000000005954,16.500000000005954,pips,+16.50pips,0.0002416290189130495,+0.00%,6.8303,6.8281,14,410
E. RMB,RMB,USDCNH,6.8313,0.00509999999999966,50.999999999996604,pips,+51.00pips,0.0007471213852508951,+0.00%,6.8313,6.8222,128,420
E. RMB,RMB,CNH-CNY spread,10.0pips,0.0017499999999994742,17.499999999994742,pips,+17.50pips,,,0.0009999999999994458,-0.0007500000000000284,14,440
F. Commodities,Commodities,Brent crude,109.4000,1.1800000000000068,1.1800000000000068,pts,+1.1800,0.010903714655331794,+0.01%,109.6,107.75,114,510
F. Commodities,Commodities,WTI crude,97.4500,1.3299999999999983,1.3299999999999983,pts,+1.3300,0.013836870578443594,+0.01%,97.48,96.06,128,520
F. Commodities,Commodities,Gold,4673.7050,2.944999999999709,2.944999999999709,pts,+2.9450,0.000630518373883417,+0.00%,4700.325,4670.745,128,530
