Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.8043%,0.0017000000000000348,0.17000000000000348,bp,+0.17bp,,,3.81315,3.79195,111,10
A. Rates,Nominal UST,UST 5Y,3.9575%,0.01529999999999987,1.529999999999987,bp,+1.53bp,,,3.9599,3.9405,111,20
A. Rates,Nominal UST,UST 10Y,4.3465%,0.01794999999999991,1.794999999999991,bp,+1.79bp,,,4.3485,4.3236,111,30
A. Rates,Nominal UST,UST 30Y,4.9538%,0.01855000000000029,1.8550000000000288,bp,+1.86bp,,,4.95535,4.9322,111,40
A. Rates,Curve,UST 2s10s spread,54.22bp,1.4299999999999926,1.4299999999999926,bp,+1.43bp,,,54.535,52.32000000000001,111,60
A. Rates,Curve,UST 5s10s spread,38.89bp,0.26500000000000057,0.26500000000000057,bp,+0.27bp,,,39.219999999999985,38.309999999999974,111,70
A. Rates,Curve,UST 5s30s spread,99.63bp,0.3250000000000455,0.3250000000000455,bp,+0.33bp,,,100.04999999999997,98.78999999999998,111,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3125%,0.0044999999999999485,0.44999999999999485,bp,+0.45bp,,,1.3185,1.2995,110,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8965%,0.013500000000000068,1.3500000000000068,bp,+1.35bp,,,1.8985,1.8815,111,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6995%,0.015000000000000124,1.5000000000000124,bp,+1.50bp,,,2.701,2.6815,111,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6450%,0.00904999999999978,0.904999999999978,bp,+0.90bp,,,2.6476499999999996,2.6315,110,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4500%,0.004449999999999843,0.4449999999999843,bp,+0.44bp,,,2.4545000000000003,2.4395499999999997,111,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2548%,0.004050000000000331,0.4050000000000331,bp,+0.41bp,,,2.2580499999999994,2.2501999999999995,111,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.7148,-0.0078125,-0.0078125,pts,-0.0078,-7.532105600120513e-05,-0.00%,103.73828125,103.69921875,127,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.1406,-0.03125,-0.03125,pts,-0.0312,-0.0002888920988010978,-0.00%,108.1953125,108.109375,127,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,110.9688,-0.109375,-0.109375,pts,-0.1094,-0.0009846673231115486,-0.00%,111.09375,110.9375,127,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.4688,-0.28125,-0.28125,pts,-0.2812,-0.0024725274725274724,-0.00%,113.78125,113.46875,127,240
D. USD & FX,USD,DXY,98.5640,0.1729999999999876,0.1729999999999876,pts,+0.1730,0.001758290900590375,+0.00%,98.575,98.391,123,310
D. USD & FX,FX,EURUSD,1.1713,-0.0019000000000000128,-19.000000000000128,pips,-19.00pips,-0.0016195022161609382,-0.00%,1.1732,1.1712,127,320
D. USD & FX,FX,USDJPY,159.510,0.2150000000000034,21.50000000000034,pips,+21.50pips,0.001349697102859496,+0.00%,159.555,159.295,127,330
D. USD & FX,FX,GBPUSD,1.3524,-0.0029000000000001247,-29.000000000001247,pips,-29.00pips,-0.0021396687202568524,-0.00%,1.35535,1.35235,127,340
D. USD & FX,FX,AUDUSD,0.7178,-0.0014499999999999513,-14.499999999999513,pips,-14.50pips,-0.0020159888773026782,-0.00%,0.7194,0.7176,127,350
E. RMB,RMB,USDCNY,6.8300,0.00140000000000029,14.000000000002899,pips,+14.00pips,0.00020501856150194987,+0.00%,6.8303,6.8281,13,410
E. RMB,RMB,USDCNH,6.8312,0.005049999999999777,50.49999999999777,pips,+50.50pips,0.0007397966657876676,+0.00%,6.83125,6.8222,127,420
E. RMB,RMB,CNH-CNY spread,12.0pips,0.0019499999999998963,19.499999999998963,pips,+19.50pips,,,0.0011999999999998678,-0.0007500000000000284,13,440
F. Commodities,Commodities,Brent crude,109.3300,1.1099999999999994,1.1099999999999994,pts,+1.1100,0.010256884124930692,+0.01%,109.6,107.75,113,510
F. Commodities,Commodities,WTI crude,97.3600,1.2399999999999949,1.2399999999999949,pts,+1.2400,0.012900540990428576,+0.01%,97.36,96.06,127,520
F. Commodities,Commodities,Gold,4673.6550,2.894999999999527,2.894999999999527,pts,+2.8950,0.0006198134778921475,+0.00%,4700.325,4670.745,127,530
