Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.8043%,0.0017000000000000348,0.17000000000000348,bp,+0.17bp,,,3.81315,3.79195,96,10
A. Rates,Nominal UST,UST 5Y,3.9575%,0.01529999999999987,1.529999999999987,bp,+1.53bp,,,3.9599,3.9405,97,20
A. Rates,Nominal UST,UST 10Y,4.3465%,0.01794999999999991,1.794999999999991,bp,+1.79bp,,,4.3485,4.3236,98,30
A. Rates,Nominal UST,UST 30Y,4.9538%,0.01855000000000029,1.8550000000000288,bp,+1.86bp,,,4.95535,4.9322,98,40
A. Rates,Curve,UST 2s10s spread,54.22bp,1.4299999999999926,1.4299999999999926,bp,+1.43bp,,,54.535,52.32000000000001,94,60
A. Rates,Curve,UST 5s10s spread,38.89bp,0.26500000000000057,0.26500000000000057,bp,+0.27bp,,,39.219999999999985,38.309999999999974,97,70
A. Rates,Curve,UST 5s30s spread,99.63bp,0.3250000000000455,0.3250000000000455,bp,+0.33bp,,,100.04999999999997,98.78999999999998,97,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3125%,0.0044999999999999485,0.44999999999999485,bp,+0.45bp,,,1.3185,1.2995,91,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8965%,0.013500000000000068,1.3500000000000068,bp,+1.35bp,,,1.8985,1.8815,96,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6995%,0.015000000000000124,1.5000000000000124,bp,+1.50bp,,,2.701,2.6815,98,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6450%,0.00904999999999978,0.904999999999978,bp,+0.90bp,,,2.6476499999999996,2.6315,91,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4500%,0.004449999999999843,0.4449999999999843,bp,+0.44bp,,,2.4545000000000003,2.4395499999999997,96,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2543%,0.003550000000000164,0.3550000000000164,bp,+0.36bp,,,2.2580499999999994,2.2501999999999995,98,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.7148,-0.0078125,-0.0078125,pts,-0.0078,-7.532105600120513e-05,-0.00%,103.73828125,103.69921875,114,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.1406,-0.03125,-0.03125,pts,-0.0312,-0.0002888920988010978,-0.00%,108.1953125,108.109375,114,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,110.9531,-0.125,-0.125,pts,-0.1250,-0.0011253340835560557,-0.00%,111.09375,110.9375,114,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.4688,-0.28125,-0.28125,pts,-0.2812,-0.0024725274725274724,-0.00%,113.78125,113.46875,114,240
D. USD & FX,USD,DXY,98.5700,0.17899999999998784,0.17899999999998784,pts,+0.1790,0.0018192720878940942,+0.00%,98.57,98.391,110,310
D. USD & FX,FX,EURUSD,1.1713,-0.0019000000000000128,-19.000000000000128,pips,-19.00pips,-0.0016195022161609382,-0.00%,1.1732,1.1712,123,320
D. USD & FX,FX,USDJPY,159.515,0.21999999999999886,21.999999999999886,pips,+22.00pips,0.0013810854075771298,+0.00%,159.555,159.295,123,330
D. USD & FX,FX,GBPUSD,1.3523,-0.0030000000000001137,-30.000000000001137,pips,-30.00pips,-0.002213450400265698,-0.00%,1.35535,1.35235,123,340
D. USD & FX,FX,AUDUSD,0.7180,-0.0012499999999999734,-12.499999999999734,pips,-12.50pips,-0.0017379214459506062,-0.00%,0.7194,0.7176,123,350
E. RMB,RMB,USDCNY,6.8296,0.0009500000000004505,9.500000000004505,pips,+9.50pips,0.00013911973816207456,+0.00%,6.8303,6.8281,9,410
E. RMB,RMB,USDCNH,6.8296,0.0034000000000000696,34.000000000000696,pips,+34.00pips,0.0004980809235006401,+0.00%,6.8306,6.8222,123,420
E. RMB,RMB,CNH-CNY spread,0.0pips,0.0007500000000000284,7.500000000000284,pips,+7.50pips,,,0.00039999999999995595,-0.0007500000000000284,9,440
F. Commodities,Commodities,Brent crude,109.2600,1.0400000000000063,1.0400000000000063,pts,+1.0400,0.00961005359452972,+0.01%,109.6,107.75,100,510
F. Commodities,Commodities,WTI crude,97.3100,1.1899999999999977,1.1899999999999977,pts,+1.1900,0.01238035788597584,+0.01%,97.33,96.06,114,520
F. Commodities,Commodities,Gold,4676.8450,6.085000000000036,6.085000000000036,pts,+6.0850,0.0013027858421327655,+0.00%,4700.325,4670.745,115,530
