Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.8032%,0.002850000000000019,0.2850000000000019,bp,+0.29bp,,,3.81315,3.79195,72,10
A. Rates,Nominal UST,UST 5Y,3.9558%,0.013549999999999951,1.354999999999995,bp,+1.35bp,,,3.9599,3.9405,82,20
A. Rates,Nominal UST,UST 10Y,4.3435%,0.014949999999999797,1.4949999999999797,bp,+1.49bp,,,4.3465,4.3236,84,30
A. Rates,Nominal UST,UST 30Y,4.9538%,0.01855000000000029,1.8550000000000288,bp,+1.86bp,,,4.9538,4.9322,91,40
A. Rates,Curve,UST 2s10s spread,54.02bp,1.4049999999999727,1.4049999999999727,bp,+1.40bp,,,54.535,52.32000000000001,69,60
A. Rates,Curve,UST 5s10s spread,38.77bp,0.13999999999997925,0.13999999999997925,bp,+0.14bp,,,39.219999999999985,38.309999999999974,77,70
A. Rates,Curve,UST 5s30s spread,99.80bp,0.5000000000000426,0.5000000000000426,bp,+0.50bp,,,100.04999999999997,98.78999999999998,81,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3115%,0.00550000000000006,0.550000000000006,bp,+0.55bp,,,1.3185,1.2995,63,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8965%,0.013500000000000068,1.3500000000000068,bp,+1.35bp,,,1.8965,1.8815,79,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6995%,0.015000000000000124,1.5000000000000124,bp,+1.50bp,,,2.6995,2.6815,89,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6443%,0.008950000000000014,0.8950000000000014,bp,+0.90bp,,,2.6476499999999996,2.6315,61,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4470%,0.0014499999999997293,0.14499999999997293,bp,+0.14bp,,,2.4545000000000003,2.4395499999999997,78,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2543%,0.003550000000000164,0.3550000000000164,bp,+0.36bp,,,2.2580499999999994,2.2501999999999995,89,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.7266,0.00390625,0.00390625,pts,+0.0039,3.7660528000602565e-05,+0.00%,103.73828125,103.69921875,105,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.1641,-0.0078125,-0.0078125,pts,-0.0078,-7.222302470027445e-05,-0.00%,108.1953125,108.109375,103,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,111.0156,-0.0625,-0.0625,pts,-0.0625,-0.0005626670417780279,-0.00%,111.09375,110.9375,104,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.5625,-0.1875,-0.1875,pts,-0.1875,-0.0016483516483516484,-0.00%,113.78125,113.53125,105,240
D. USD & FX,USD,DXY,98.5300,0.1389999999999958,0.1389999999999958,pts,+0.1390,0.0014127308392027297,+0.00%,98.545,98.391,100,310
D. USD & FX,FX,EURUSD,1.1714,-0.0018000000000000238,-18.000000000000238,pips,-18.00pips,-0.0015342652574156356,-0.00%,1.1732,1.1714,120,320
D. USD & FX,FX,USDJPY,159.535,0.2400000000000091,24.00000000000091,pips,+24.00pips,0.0015066386264478428,+0.00%,159.54,159.295,120,330
D. USD & FX,FX,GBPUSD,1.3525,-0.002850000000000019,-28.500000000000192,pips,-28.50pips,-0.0021027778802523473,-0.00%,1.35535,1.3525,120,340
D. USD & FX,FX,AUDUSD,0.7180,-0.0011999999999999789,-11.999999999999789,pips,-12.00pips,-0.001668404588112588,-0.00%,0.7194,0.71805,120,350
E. RMB,RMB,USDCNY,6.8290,0.0003500000000000725,3.5000000000007248,pips,+3.50pips,5.125464037548747e-05,+0.00%,6.8292,6.8281,6,410
E. RMB,RMB,USDCNH,6.8290,0.0027999999999996916,27.999999999996916,pips,+28.00pips,0.0004101842899416501,+0.00%,6.82915,6.8222,120,420
E. RMB,RMB,CNH-CNY spread,0.0pips,0.0007500000000000284,7.500000000000284,pips,+7.50pips,,,4.999999999988347e-05,-0.0007500000000000284,6,440
F. Commodities,Commodities,Brent crude,108.6200,0.4000000000000057,0.4000000000000057,pts,+0.4000,0.0036961744594345377,+0.00%,109.6,107.75,88,510
F. Commodities,Commodities,WTI crude,96.9200,0.7999999999999972,0.7999999999999972,pts,+0.8000,0.008322929671244247,+0.01%,97.31,96.06,106,520
F. Commodities,Commodities,Gold,4678.1700,7.4099999999998545,7.4099999999998545,pts,+7.4100,0.001586465585900336,+0.00%,4700.325,4670.76,109,530
F. Commodities,Commodities,Copper,6.0170,0.017000000000000348,0.017000000000000348,pts,+0.0170,0.002833333333333391,+0.00%,6.036,4.98,107,540
