Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.8063%,0.003749999999999698,0.3749999999999698,bp,+0.37bp,,,3.81315,3.79195,119,10
A. Rates,Nominal UST,UST 5Y,3.9592%,0.016999999999999904,1.6999999999999904,bp,+1.70bp,,,3.9599,3.9405,119,20
A. Rates,Nominal UST,UST 10Y,4.3465%,0.01794999999999991,1.794999999999991,bp,+1.79bp,,,4.3485,4.3236,119,30
A. Rates,Nominal UST,UST 30Y,4.9543%,0.019099999999999895,1.9099999999999895,bp,+1.91bp,,,4.95795,4.9322,119,40
A. Rates,Curve,UST 2s10s spread,54.22bp,1.4250000000000043,1.4250000000000043,bp,+1.43bp,,,54.535,52.32000000000001,119,60
A. Rates,Curve,UST 5s10s spread,38.72bp,0.09499999999999886,0.09499999999999886,bp,+0.09bp,,,39.219999999999985,38.309999999999974,119,70
A. Rates,Curve,UST 5s30s spread,99.51bp,0.21000000000000796,0.21000000000000796,bp,+0.21bp,,,100.04999999999997,98.78999999999998,119,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3145%,0.00649999999999995,0.649999999999995,bp,+0.65bp,,,1.3185,1.2995,118,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8975%,0.014499999999999957,1.4499999999999957,bp,+1.45bp,,,1.8995,1.8815,119,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6995%,0.015000000000000124,1.5000000000000124,bp,+1.50bp,,,2.7035,2.6815,119,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6448%,0.008750000000000036,0.8750000000000036,bp,+0.88bp,,,2.6476499999999996,2.6315,118,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4490%,0.003449999999999953,0.3449999999999953,bp,+0.34bp,,,2.4545000000000003,2.4395499999999997,119,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2548%,0.0040999999999997705,0.40999999999997705,bp,+0.41bp,,,2.2580499999999994,2.2501999999999995,119,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.7070,-0.015625,-0.015625,pts,-0.0156,-0.00015064211200241026,-0.00%,103.73828125,103.69921875,135,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.1250,-0.046875,-0.046875,pts,-0.0469,-0.00043333814820164666,-0.00%,108.1953125,108.109375,135,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,110.9375,-0.140625,-0.140625,pts,-0.1406,-0.0012660008440005626,-0.00%,111.09375,110.9375,135,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.4375,-0.3125,-0.3125,pts,-0.3125,-0.0027472527472527475,-0.00%,113.78125,113.4375,135,240
D. USD & FX,USD,DXY,98.5900,0.19899999999999807,0.19899999999999807,pts,+0.1990,0.0020225427122399207,+0.00%,98.591,98.391,131,310
D. USD & FX,FX,EURUSD,1.1713,-0.0019000000000000128,-19.000000000000128,pips,-19.00pips,-0.0016195022161609382,-0.00%,1.1732,1.1709,135,320
D. USD & FX,FX,USDJPY,159.235,-0.05999999999997385,-5.999999999997385,pips,-6.00pips,-0.00037665965661178225,-0.00%,159.555,159.235,135,330
D. USD & FX,FX,GBPUSD,1.3529,-0.0024500000000000632,-24.500000000000632,pips,-24.50pips,-0.0018076511602169647,-0.00%,1.35535,1.35215,135,340
D. USD & FX,FX,AUDUSD,0.7180,-0.0011999999999999789,-11.999999999999789,pips,-12.00pips,-0.001668404588112588,-0.00%,0.7194,0.71745,135,350
E. RMB,RMB,USDCNY,6.8289,0.000300000000000189,3.00000000000189,pips,+3.00pips,4.3932548893293555e-05,+0.00%,6.83065,6.8281,21,410
E. RMB,RMB,USDCNH,6.8297,0.0034999999999998366,34.999999999998366,pips,+35.00pips,0.0005127303624270951,+0.00%,6.83145,6.8222,135,420
E. RMB,RMB,CNH-CNY spread,7.5pips,0.0015000000000000568,15.000000000000568,pips,+15.00pips,,,0.001000000000000334,-0.0007500000000000284,21,440
F. Commodities,Commodities,Brent crude,109.4000,1.1800000000000068,1.1800000000000068,pts,+1.1800,0.010903714655331794,+0.01%,109.6,107.75,121,510
F. Commodities,Commodities,WTI crude,97.4000,1.2800000000000011,1.2800000000000011,pts,+1.2800,0.013316687473990856,+0.01%,97.48,96.06,135,520
F. Commodities,Commodities,Gold,4673.4450,2.6849999999994907,2.6849999999994907,pts,+2.6850,0.0005748529147289714,+0.00%,4700.325,4669.18,135,530
