Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.8380%,-0.0030999999999998806,-0.30999999999998806,bp,-0.31bp,,,3.8483,3.83085,87,10
A. Rates,Nominal UST,UST 5Y,3.9802%,-0.0017499999999999183,-0.17499999999999183,bp,-0.17bp,,,3.9924,3.97145,86,20
A. Rates,Nominal UST,UST 10Y,4.3465%,-0.009999999999999787,-0.9999999999999787,bp,-1.00bp,,,4.3625,4.34055,86,30
A. Rates,Nominal UST,UST 30Y,4.9358%,-0.01699999999999946,-1.699999999999946,bp,-1.70bp,,,4.9559,4.9301,87,40
A. Rates,Curve,UST 2s10s spread,50.84bp,-0.6899999999999906,-0.6899999999999906,bp,-0.69bp,,,51.73999999999994,50.73999999999997,86,60
A. Rates,Curve,UST 5s10s spread,36.63bp,-0.8249999999999886,-0.8249999999999886,bp,-0.82bp,,,37.51000000000002,36.50499999999997,86,70
A. Rates,Curve,UST 5s30s spread,95.56bp,-1.5249999999999488,-1.5249999999999488,bp,-1.52bp,,,97.085,95.56000000000004,86,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3300%,-0.01749999999999985,-1.749999999999985,bp,-1.75bp,,,1.357,1.3255,72,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8905%,-0.020499999999999963,-2.0499999999999963,bp,-2.05bp,,,1.92,1.8905,73,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6790%,-0.02100000000000035,-2.100000000000035,bp,-2.10bp,,,2.7045,2.679,73,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6502%,0.01574999999999971,1.5749999999999709,bp,+1.57bp,,,2.65645,2.6299,72,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4560%,0.010499999999999954,1.0499999999999954,bp,+1.05bp,,,2.4560000000000004,2.439,73,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2568%,0.004000000000000892,0.4000000000000892,bp,+0.40bp,,,2.25795,2.24875,73,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.6406,-0.0078125,-0.0078125,pts,-0.0078,-7.537499057812617e-05,-0.00%,103.671875,103.6328125,121,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,107.9844,-0.03125,-0.03125,pts,-0.0312,-0.0002893099956603501,-0.00%,108.0625,107.96875,121,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,110.8281,-0.015625,-0.015625,pts,-0.0156,-0.000140964195094446,-0.00%,110.9375,110.765625,121,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.4688,0.09375,0.09375,pts,+0.0938,0.0008269018743109151,+0.00%,113.71875,113.34375,121,240
D. USD & FX,USD,DXY,98.6440,0.030000000000001137,0.030000000000001137,pts,+0.0300,0.00030421643985642136,+0.00%,98.678,98.568,117,310
D. USD & FX,FX,EURUSD,1.1713,-0.00010000000000021103,-1.0000000000021103,pips,-1.00pips,-8.536429211678775e-05,-0.00%,1.17205,1.1706,121,320
D. USD & FX,FX,USDJPY,159.600,0.05500000000000682,5.500000000000682,pips,+5.50pips,0.0003447303268670709,+0.00%,159.675,159.51,121,330
D. USD & FX,FX,GBPUSD,1.3519,0.0008500000000000174,8.500000000000174,pips,+8.50pips,0.0006291170157649452,+0.00%,1.3528,1.35085,121,340
D. USD & FX,FX,AUDUSD,0.7173,-0.0006999999999999229,-6.999999999999229,pips,-7.00pips,-0.0009749303621168843,-0.00%,0.71895,0.717,121,350
E. RMB,RMB,USDCNY,6.8342,-0.003249999999999531,-32.49999999999531,pips,-32.50pips,-0.00047532340273048155,-0.00%,6.83745,6.83355,11,410
E. RMB,RMB,USDCNH,6.8355,-0.0023500000000007404,-23.500000000007404,pips,-23.50pips,-0.0003436727650303076,-0.00%,6.84085,6.83475,121,420
E. RMB,RMB,CNH-CNY spread,13.5pips,-0.00010000000000065512,-1.0000000000065512,pips,-1.00pips,,,0.0017500000000003624,0.00039999999999995595,11,440
F. Commodities,Commodities,Brent crude,111.8500,0.5899999999999892,0.5899999999999892,pts,+0.5900,0.005302894121876588,+0.01%,111.85,110.41,105,510
F. Commodities,Commodities,WTI crude,100.4400,0.6099999999999994,0.6099999999999994,pts,+0.6100,0.006110387659020329,+0.01%,100.44,99.03,121,520
F. Commodities,Commodities,Gold,4590.0300,5.8400000000001455,5.8400000000001455,pts,+5.8400,0.0012739437065217947,+0.00%,4608.435,4580.62,121,530
F. Commodities,Commodities,Copper,5.9405,0.008000000000000007,0.008000000000000007,pts,+0.0080,0.001348504003371261,+0.00%,5.9405,5.9145,25,540
