Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.8043%,0.0017000000000000348,0.17000000000000348,bp,+0.17bp,,,3.81315,3.79195,122,10
A. Rates,Nominal UST,UST 5Y,3.9575%,0.01529999999999987,1.529999999999987,bp,+1.53bp,,,3.9599,3.9405,122,20
A. Rates,Nominal UST,UST 10Y,4.3465%,0.01794999999999991,1.794999999999991,bp,+1.79bp,,,4.3485,4.3236,122,30
A. Rates,Nominal UST,UST 30Y,4.9543%,0.019099999999999895,1.9099999999999895,bp,+1.91bp,,,4.95795,4.9322,122,40
A. Rates,Curve,UST 2s10s spread,54.22bp,1.4299999999999926,1.4299999999999926,bp,+1.43bp,,,54.535,52.32000000000001,122,60
A. Rates,Curve,UST 5s10s spread,38.89bp,0.26500000000000057,0.26500000000000057,bp,+0.27bp,,,39.219999999999985,38.309999999999974,122,70
A. Rates,Curve,UST 5s30s spread,99.63bp,0.3250000000000455,0.3250000000000455,bp,+0.33bp,,,100.04999999999997,98.78999999999998,122,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3125%,0.0044999999999999485,0.44999999999999485,bp,+0.45bp,,,1.3185,1.2995,121,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8975%,0.014499999999999957,1.4499999999999957,bp,+1.45bp,,,1.8995,1.8815,122,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.7005%,0.016000000000000014,1.6000000000000014,bp,+1.60bp,,,2.7035,2.6815,122,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6450%,0.00904999999999978,0.904999999999978,bp,+0.90bp,,,2.6476499999999996,2.6315,121,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4500%,0.004449999999999843,0.4449999999999843,bp,+0.44bp,,,2.4545000000000003,2.4395499999999997,122,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2538%,0.0030999999999998806,0.30999999999998806,bp,+0.31bp,,,2.2580499999999994,2.2501999999999995,122,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.7109,-0.01171875,-0.01171875,pts,-0.0117,-0.00011298158400180771,-0.00%,103.73828125,103.69921875,138,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.1250,-0.046875,-0.046875,pts,-0.0469,-0.00043333814820164666,-0.00%,108.1953125,108.109375,138,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,110.9531,-0.125,-0.125,pts,-0.1250,-0.0011253340835560557,-0.00%,111.09375,110.9375,138,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.4688,-0.28125,-0.28125,pts,-0.2812,-0.0024725274725274724,-0.00%,113.78125,113.40625,138,240
D. USD & FX,USD,DXY,98.5350,0.14399999999999125,0.14399999999999125,pts,+0.1440,0.0014635484952891143,+0.00%,98.591,98.391,134,310
D. USD & FX,FX,EURUSD,1.1717,-0.0015000000000000568,-15.000000000000568,pips,-15.00pips,-0.0012785543811797279,-0.00%,1.1732,1.1709,138,320
D. USD & FX,FX,USDJPY,159.145,-0.14999999999997726,-14.999999999997726,pips,-15.00pips,-0.0009416491415297233,-0.00%,159.555,159.145,138,330
D. USD & FX,FX,GBPUSD,1.3535,-0.0018500000000001293,-18.500000000001293,pips,-18.50pips,-0.0013649610801638908,-0.00%,1.35535,1.35215,138,340
D. USD & FX,FX,AUDUSD,0.7183,-0.0009499999999998954,-9.499999999998954,pips,-9.50pips,-0.0013208202989223434,-0.00%,0.7194,0.71745,138,350
E. RMB,RMB,USDCNY,6.8275,-0.001100000000000101,-11.000000000001009,pips,-11.00pips,-0.00016108601260865632,-0.00%,6.83065,6.82755,24,410
E. RMB,RMB,USDCNH,6.8286,0.0023999999999997357,23.999999999997357,pips,+24.00pips,0.00035158653423570004,+0.00%,6.83145,6.8222,138,420
E. RMB,RMB,CNH-CNY spread,10.5pips,0.0018000000000002458,18.00000000000246,pips,+18.00pips,,,0.0013999999999994017,-0.0007500000000000284,24,440
F. Commodities,Commodities,Brent crude,109.1900,0.9699999999999989,0.9699999999999989,pts,+0.9700,0.008963223064128617,+0.01%,109.6,107.75,124,510
F. Commodities,Commodities,WTI crude,97.2300,1.1099999999999994,1.1099999999999994,pts,+1.1100,0.01154806491885143,+0.01%,97.48,96.06,138,520
F. Commodities,Commodities,Gold,4675.4100,4.649999999999636,4.649999999999636,pts,+4.6500,0.0009955553271843631,+0.00%,4700.325,4669.18,138,530
