Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.8043%,0.0017000000000000348,0.17000000000000348,bp,+0.17bp,,,3.81315,3.79195,113,10
A. Rates,Nominal UST,UST 5Y,3.9575%,0.01529999999999987,1.529999999999987,bp,+1.53bp,,,3.9599,3.9405,113,20
A. Rates,Nominal UST,UST 10Y,4.3435%,0.014949999999999797,1.4949999999999797,bp,+1.49bp,,,4.3485,4.3236,113,30
A. Rates,Nominal UST,UST 30Y,4.9528%,0.017549999999999955,1.7549999999999955,bp,+1.75bp,,,4.95535,4.9322,113,40
A. Rates,Curve,UST 2s10s spread,53.92bp,1.1299999999999812,1.1299999999999812,bp,+1.13bp,,,54.535,52.32000000000001,113,60
A. Rates,Curve,UST 5s10s spread,38.89bp,0.26500000000000057,0.26500000000000057,bp,+0.27bp,,,39.219999999999985,38.309999999999974,113,70
A. Rates,Curve,UST 5s30s spread,99.63bp,0.3250000000000455,0.3250000000000455,bp,+0.33bp,,,100.04999999999997,98.78999999999998,113,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3115%,0.0035000000000000586,0.35000000000000586,bp,+0.35bp,,,1.3185,1.2995,112,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8965%,0.013500000000000068,1.3500000000000068,bp,+1.35bp,,,1.8985,1.8815,113,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6990%,0.014499999999999957,1.4499999999999957,bp,+1.45bp,,,2.701,2.6815,113,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6450%,0.00904999999999978,0.904999999999978,bp,+0.90bp,,,2.6476499999999996,2.6315,112,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4470%,0.0014499999999997293,0.14499999999997293,bp,+0.14bp,,,2.4545000000000003,2.4395499999999997,113,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2538%,0.003049999999999997,0.3049999999999997,bp,+0.30bp,,,2.2580499999999994,2.2501999999999995,113,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.7148,-0.0078125,-0.0078125,pts,-0.0078,-7.532105600120513e-05,-0.00%,103.73828125,103.69921875,129,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.1328,-0.0390625,-0.0390625,pts,-0.0391,-0.00036111512350137223,-0.00%,108.1953125,108.109375,129,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,110.9688,-0.109375,-0.109375,pts,-0.1094,-0.0009846673231115486,-0.00%,111.09375,110.9375,129,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.5000,-0.25,-0.25,pts,-0.2500,-0.002197802197802198,-0.00%,113.78125,113.46875,129,240
D. USD & FX,USD,DXY,98.5640,0.1729999999999876,0.1729999999999876,pts,+0.1730,0.001758290900590375,+0.00%,98.575,98.391,125,310
D. USD & FX,FX,EURUSD,1.1711,-0.0020999999999999908,-20.999999999999908,pips,-21.00pips,-0.0017899761336515434,-0.00%,1.1732,1.1711,129,320
D. USD & FX,FX,USDJPY,159.515,0.21999999999999886,21.999999999999886,pips,+22.00pips,0.0013810854075771298,+0.00%,159.555,159.295,129,330
D. USD & FX,FX,GBPUSD,1.3522,-0.003149999999999986,-31.49999999999986,pips,-31.50pips,-0.0023241229202788844,-0.00%,1.35535,1.35215,129,340
D. USD & FX,FX,AUDUSD,0.7177,-0.0015499999999999403,-15.499999999999403,pips,-15.50pips,-0.0021550225929787147,-0.00%,0.7194,0.71745,129,350
E. RMB,RMB,USDCNY,6.8297,0.001100000000000101,11.000000000001009,pips,+11.00pips,0.00016108601260865632,+0.00%,6.8303,6.8281,15,410
E. RMB,RMB,USDCNH,6.8303,0.004100000000000215,41.000000000002146,pips,+41.00pips,0.0006006269959860852,+0.00%,6.831,6.8222,129,420
E. RMB,RMB,CNH-CNY spread,5.5pips,0.001300000000000523,13.00000000000523,pips,+13.00pips,,,0.001000000000000334,-0.0007500000000000284,15,440
F. Commodities,Commodities,Brent crude,109.3800,1.1599999999999966,1.1599999999999966,pts,+1.1600,0.010718905932359976,+0.01%,109.6,107.75,115,510
F. Commodities,Commodities,WTI crude,97.3900,1.269999999999996,1.269999999999996,pts,+1.2700,0.01321265085310025,+0.01%,97.48,96.06,129,520
F. Commodities,Commodities,Gold,4671.0750,0.3149999999995998,0.3149999999995998,pts,+0.3150,6.744084474466679e-05,+0.00%,4700.325,4670.745,129,530
