name,unit,status,error,ric,fields,obs
UST 2Y,yield_pct,ok,,US2YT=RR,MID_YLD_1,137
UST 5Y,yield_pct,ok,,US5YT=RR,MID_YLD_1,141
UST 10Y,yield_pct,ok,,US10YT=RR,MID_YLD_1,141
UST 30Y,yield_pct,ok,,US30YT=RR,MID_YLD_1,147
TIPS real 5Y,yield_pct,ok,,US5YTIP=RR,MID_YLD_1,114
TIPS real 10Y,yield_pct,ok,,US10YTIP=RR,MID_YLD_1,129
TIPS real 30Y,yield_pct,ok,,US30YTIP=RR,MID_YLD_1,133
TU 2Y Treasury Fut,futures_price,ok,,TUc1,TRDPRC_1,180
FV 5Y Treasury Fut,futures_price,ok,,FVc1,TRDPRC_1,184
TY 10Y Treasury Fut,futures_price,ok,,TYc1,TRDPRC_1,190
US 30Y Treasury Fut,futures_price,ok,,USc1,TRDPRC_1,188
DXY,index,ok,,.DXY,TRDPRC_1,184
EURUSD,fx,ok,,EUR=,MID_PRICE,205
USDJPY,fx_jpy,ok,,JPY=,MID_PRICE,205
GBPUSD,fx,ok,,GBP=,MID_PRICE,205
AUDUSD,fx,ok,,AUD=,MID_PRICE,205
USDCNY,fx,ok,,CNY=,MID_PRICE,52
USDCNH,fx,ok,,CNH=,MID_PRICE,205
Brent crude,commodity,ok,,LCOc1,TRDPRC_1,172
WTI crude,commodity,ok,,CLc1,TRDPRC_1,190
Gold,commodity,error,"No data to return, please check errors: ERROR: No successful response.
(TS.Intraday.UserRequestError.90006, The universe does not support the following fields: [TRDPRC_1])",XAU=,TRDPRC_1,0
Gold,commodity,ok,,XAU=,MID_PRICE,195
Copper,commodity,ok,,HGc1,TRDPRC_1,11
UST 2Y,yield_pct,ok,,US2YT=RR,MID_YLD_1,498
UST 5Y,yield_pct,ok,,US5YT=RR,MID_YLD_1,499
UST 10Y,yield_pct,ok,,US10YT=RR,MID_YLD_1,498
UST 30Y,yield_pct,ok,,US30YT=RR,MID_YLD_1,498
TU 2Y Treasury Fut,futures_price,ok,,TUc1,TRDPRC_1,472
FV 5Y Treasury Fut,futures_price,ok,,FVc1,TRDPRC_1,481
TY 10Y Treasury Fut,futures_price,ok,,TYc1,TRDPRC_1,502
US 30Y Treasury Fut,futures_price,ok,,USc1,TRDPRC_1,500
DXY,index,ok,,.DXY,TRDPRC_1,516
EURUSD,fx,ok,,EUR=,MID_PRICE,521
USDJPY,fx_jpy,ok,,JPY=,MID_PRICE,521
GBPUSD,fx,ok,,GBP=,MID_PRICE,521
AUDUSD,fx,ok,,AUD=,MID_PRICE,521
USDCNY,fx,ok,,CNY=,MID_PRICE,521
USDCNH,fx,ok,,CNH=,MID_PRICE,524
USD/CNY fixing,fixing_fx,error,"No data to return, please check errors: ERROR: No successful response.
(TSCC.QS.UserRequestError.90006, The universe does not support the following fields: [TRDPRC_1])",CNY=PBOC,TRDPRC_1,0
USD/CNY fixing,fixing_fx,ok,,CNY=PBOC,MID_PRICE,484
Brent crude,commodity,ok,,LCOc1,TRDPRC_1,515
WTI crude,commodity,ok,,CLc1,TRDPRC_1,502
Gold,commodity,error,"No data to return, please check errors: ERROR: No successful response.
(TSCC.QS.UserRequestError.90006, The universe does not support the following fields: [TRDPRC_1])",XAU=,TRDPRC_1,0
Gold,commodity,ok,,XAU=,MID_PRICE,515
Copper,commodity,ok,,HGc1,TRDPRC_1,494
