Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.7981%,-0.0022999999999999687,-0.22999999999999687,bp,-0.23bp,,,3.81315,3.79195,70,10
A. Rates,Nominal UST,UST 5Y,3.9505%,0.008299999999999752,0.8299999999999752,bp,+0.83bp,,,3.9599,3.9405,79,20
A. Rates,Nominal UST,UST 10Y,4.3425%,0.013950000000000351,1.395000000000035,bp,+1.40bp,,,4.3465,4.3236,82,30
A. Rates,Nominal UST,UST 30Y,4.9502%,0.014949999999999797,1.4949999999999797,bp,+1.49bp,,,4.9528,4.9322,89,40
A. Rates,Curve,UST 2s10s spread,54.44bp,1.8200000000000216,1.8200000000000216,bp,+1.82bp,,,54.535,52.32000000000001,67,60
A. Rates,Curve,UST 5s10s spread,38.90bp,0.2650000000000503,0.2650000000000503,bp,+0.27bp,,,39.219999999999985,38.309999999999974,74,70
A. Rates,Curve,UST 5s30s spread,99.96bp,0.6650000000000063,0.6650000000000063,bp,+0.67bp,,,100.04999999999997,98.78999999999998,78,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3080%,0.0020000000000000018,0.20000000000000018,bp,+0.20bp,,,1.3185,1.2995,61,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8925%,0.009500000000000064,0.9500000000000064,bp,+0.95bp,,,1.8955,1.8815,76,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6960%,0.011500000000000288,1.1500000000000288,bp,+1.15bp,,,2.6985,2.6815,87,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6441%,0.008700000000000152,0.8700000000000152,bp,+0.87bp,,,2.6476499999999996,2.6315,58,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4470%,0.0014500000000001734,0.14500000000001734,bp,+0.15bp,,,2.4545000000000003,2.4395499999999997,75,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2542%,0.003449999999999509,0.3449999999999509,bp,+0.34bp,,,2.2580499999999994,2.2501999999999995,87,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.7266,0.00390625,0.00390625,pts,+0.0039,3.7660528000602565e-05,+0.00%,103.73828125,103.69921875,103,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.1641,-0.0078125,-0.0078125,pts,-0.0078,-7.222302470027445e-05,-0.00%,108.1953125,108.109375,101,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,111.0156,-0.0625,-0.0625,pts,-0.0625,-0.0005626670417780279,-0.00%,111.09375,110.9375,103,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.5625,-0.1875,-0.1875,pts,-0.1875,-0.0016483516483516484,-0.00%,113.78125,113.53125,103,240
D. USD & FX,USD,DXY,98.5170,0.12599999999999056,0.12599999999999056,pts,+0.1260,0.0012806049333779568,+0.00%,98.545,98.391,98,310
D. USD & FX,FX,EURUSD,1.1715,-0.0017000000000000348,-17.000000000000348,pips,-17.00pips,-0.001449028298670333,-0.00%,1.1732,1.17145,118,320
D. USD & FX,FX,USDJPY,159.500,0.2050000000000125,20.50000000000125,pips,+20.50pips,0.0012869204934242288,+0.00%,159.52,159.295,118,330
D. USD & FX,FX,GBPUSD,1.3528,-0.0025500000000000522,-25.500000000000522,pips,-25.50pips,-0.0018814328402258103,-0.00%,1.35535,1.35255,118,340
D. USD & FX,FX,AUDUSD,0.7185,-0.0007499999999999174,-7.499999999999174,pips,-7.50pips,-0.0010427528675702711,-0.00%,0.7194,0.71815,118,350
E. RMB,RMB,USDCNY,6.8286,0.0,0.0,pips,0.00pips,0.0,+0.00%,6.8292,6.8281,4,410
E. RMB,RMB,USDCNH,6.8286,0.0023999999999997357,23.999999999997357,pips,+24.00pips,0.00035158653423570004,+0.00%,6.8288,6.8222,118,420
E. RMB,RMB,CNH-CNY spread,-0.5pips,0.000700000000000145,7.0000000000014495,pips,+7.00pips,,,-4.999999999988347e-05,-0.0007500000000000284,4,440
F. Commodities,Commodities,Brent crude,108.7700,0.5499999999999972,0.5499999999999972,pts,+0.5500,0.005082239881722391,+0.01%,109.6,107.75,86,510
F. Commodities,Commodities,WTI crude,96.9800,0.8599999999999994,0.8599999999999994,pts,+0.8600,0.008947149396587592,+0.01%,97.31,96.06,104,520
F. Commodities,Commodities,Gold,4686.8291,16.069099999999708,16.069099999999708,pts,+16.0691,0.0034403608834535936,+0.00%,4700.325,4670.76,107,530
F. Commodities,Commodities,Copper,6.0165,0.016499999999999737,0.016499999999999737,pts,+0.0165,0.002749999999999956,+0.00%,6.036,4.98,105,540
