Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.8380%,-0.0030999999999998806,-0.30999999999998806,bp,-0.31bp,,,3.8483,3.83085,87,10
A. Rates,Nominal UST,UST 5Y,3.9802%,-0.0017499999999999183,-0.17499999999999183,bp,-0.17bp,,,3.9924,3.97145,86,20
A. Rates,Nominal UST,UST 10Y,4.3465%,-0.009999999999999787,-0.9999999999999787,bp,-1.00bp,,,4.3625,4.34055,86,30
A. Rates,Nominal UST,UST 30Y,4.9358%,-0.01699999999999946,-1.699999999999946,bp,-1.70bp,,,4.9559,4.9301,87,40
A. Rates,Curve,UST 2s10s spread,50.84bp,-0.6899999999999906,-0.6899999999999906,bp,-0.69bp,,,51.73999999999994,50.73999999999997,86,60
A. Rates,Curve,UST 5s10s spread,36.63bp,-0.8249999999999886,-0.8249999999999886,bp,-0.82bp,,,37.51000000000002,36.50499999999997,86,70
A. Rates,Curve,UST 5s30s spread,95.56bp,-1.5249999999999488,-1.5249999999999488,bp,-1.52bp,,,97.085,95.56000000000004,86,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3300%,-0.01749999999999985,-1.749999999999985,bp,-1.75bp,,,1.357,1.3255,72,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8905%,-0.020499999999999963,-2.0499999999999963,bp,-2.05bp,,,1.92,1.8905,73,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6790%,-0.02100000000000035,-2.100000000000035,bp,-2.10bp,,,2.7045,2.679,73,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6502%,0.01574999999999971,1.5749999999999709,bp,+1.57bp,,,2.65645,2.6299,72,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4560%,0.010499999999999954,1.0499999999999954,bp,+1.05bp,,,2.4560000000000004,2.439,73,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2568%,0.004000000000000892,0.4000000000000892,bp,+0.40bp,,,2.25795,2.24875,73,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.6562,0.0078125,0.0078125,pts,+0.0078,7.537499057812617e-05,+0.00%,103.671875,103.63671875,109,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.0312,0.015625,0.015625,pts,+0.0156,0.00014465499783017504,+0.00%,108.0625,107.96875,109,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,110.8750,0.03125,0.03125,pts,+0.0312,0.000281928390188892,+0.00%,110.9375,110.796875,109,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.5625,0.1875,0.1875,pts,+0.1875,0.0016538037486218302,+0.00%,113.71875,113.34375,109,240
D. USD & FX,USD,DXY,98.6030,-0.01100000000000989,-0.01100000000000989,pts,-0.0110,-0.00011154602794745057,-0.00%,98.678,98.568,105,310
D. USD & FX,FX,EURUSD,1.1711,-0.0003500000000000725,-3.5000000000007248,pips,-3.50pips,-0.0002987750224081885,-0.00%,1.17205,1.1706,109,320
D. USD & FX,FX,USDJPY,159.615,0.0700000000000216,7.00000000000216,pips,+7.00pips,0.0004387476887399894,+0.00%,159.675,159.51,109,330
D. USD & FX,FX,GBPUSD,1.3519,0.0008000000000001339,8.00000000000134,pips,+8.00pips,0.0005921101324847412,+0.00%,1.3528,1.35085,109,340
D. USD & FX,FX,AUDUSD,0.7181,9.999999999998899e-05,0.9999999999998899,pips,+1.00pips,0.00013927576601669776,+0.00%,0.71895,0.7176,109,350
E. RMB,RMB,USDCNY,6.8374,0.0,0.0,pips,0.00pips,0.0,+0.00%,6.83745,6.83745,4,410
E. RMB,RMB,USDCNH,6.8375,-0.00039999999999995595,-3.9999999999995595,pips,-4.00pips,-5.8497491920027484e-05,-0.00%,6.84085,6.83525,109,420
E. RMB,RMB,CNH-CNY spread,14.5pips,0.0,0.0,pips,0.00pips,,,0.0014500000000001734,0.0014500000000001734,4,440
F. Commodities,Commodities,Brent crude,110.8500,-0.4100000000000108,-0.4100000000000108,pts,-0.4100,-0.0036850620168974546,-0.00%,111.5,110.41,93,510
F. Commodities,Commodities,WTI crude,99.3200,-0.5100000000000051,-0.5100000000000051,pts,-0.5100,-0.00510868476409902,-0.01%,100.39,99.03,109,520
F. Commodities,Commodities,Gold,4587.6600,3.4700000000002547,3.4700000000002547,pts,+3.4700,0.0007569494283614455,+0.00%,4608.435,4580.835,109,530
F. Commodities,Commodities,Copper,5.9225,-0.009999999999999787,-0.009999999999999787,pts,-0.0100,-0.001685630004214039,-0.00%,5.9325,5.9145,13,540
