Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.7981%,-0.0022999999999999687,-0.22999999999999687,bp,-0.23bp,,,3.81315,3.79195,68,10
A. Rates,Nominal UST,UST 5Y,3.9505%,0.008299999999999752,0.8299999999999752,bp,+0.83bp,,,3.9599,3.9405,78,20
A. Rates,Nominal UST,UST 10Y,4.3425%,0.013950000000000351,1.395000000000035,bp,+1.40bp,,,4.3465,4.3236,80,30
A. Rates,Nominal UST,UST 30Y,4.9507%,0.015450000000000408,1.5450000000000408,bp,+1.55bp,,,4.9528,4.9322,87,40
A. Rates,Curve,UST 2s10s spread,54.44bp,1.8200000000000216,1.8200000000000216,bp,+1.82bp,,,54.535,52.32000000000001,65,60
A. Rates,Curve,UST 5s10s spread,39.20bp,0.5650000000000617,0.5650000000000617,bp,+0.57bp,,,39.219999999999985,38.309999999999974,73,70
A. Rates,Curve,UST 5s30s spread,100.02bp,0.7150000000000745,0.7150000000000745,bp,+0.72bp,,,100.04999999999997,98.78999999999998,77,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3065%,0.0004999999999999449,0.04999999999999449,bp,+0.05bp,,,1.3185,1.2995,59,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8935%,0.010499999999999954,1.0499999999999954,bp,+1.05bp,,,1.8955,1.8815,75,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6965%,0.01200000000000001,1.200000000000001,bp,+1.20bp,,,2.6985,2.6815,85,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6441%,0.008700000000000152,0.8700000000000152,bp,+0.87bp,,,2.6476499999999996,2.6315,57,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4490%,0.003450000000000397,0.3450000000000397,bp,+0.35bp,,,2.4545000000000003,2.4395499999999997,74,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2542%,0.003450000000000397,0.3450000000000397,bp,+0.35bp,,,2.2580499999999994,2.2501999999999995,85,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.7227,0.0,0.0,pts,0.0000,0.0,+0.00%,103.73828125,103.69921875,101,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.1641,-0.0078125,-0.0078125,pts,-0.0078,-7.222302470027445e-05,-0.00%,108.1953125,108.109375,99,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,111.0156,-0.0625,-0.0625,pts,-0.0625,-0.0005626670417780279,-0.00%,111.09375,110.9375,101,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.5312,-0.21875,-0.21875,pts,-0.2188,-0.0019230769230769232,-0.00%,113.78125,113.53125,101,240
D. USD & FX,USD,DXY,98.5330,0.1419999999999959,0.1419999999999959,pts,+0.1420,0.0014432214328545894,+0.00%,98.545,98.391,96,310
D. USD & FX,FX,EURUSD,1.1718,-0.0014000000000000679,-14.000000000000679,pips,-14.00pips,-0.0011933174224344253,-0.00%,1.1732,1.17145,116,320
D. USD & FX,FX,USDJPY,159.500,0.2050000000000125,20.50000000000125,pips,+20.50pips,0.0012869204934242288,+0.00%,159.52,159.295,116,330
D. USD & FX,FX,GBPUSD,1.3531,-0.0022500000000000853,-22.500000000000853,pips,-22.50pips,-0.0016600878001992734,-0.00%,1.35535,1.35255,116,340
D. USD & FX,FX,AUDUSD,0.7188,-0.00039999999999995595,-3.9999999999995595,pips,-4.00pips,-0.0005561348627041446,-0.00%,0.7194,0.71815,116,350
E. RMB,RMB,USDCNY,6.8281,-0.0005499999999996064,-5.499999999996064,pips,-5.50pips,-8.054300630426312e-05,-0.00%,6.82865,6.8281,2,410
E. RMB,RMB,USDCNH,6.8277,0.0014500000000001734,14.500000000001734,pips,+14.50pips,0.00021241686443411757,+0.00%,6.8279,6.8222,116,420
E. RMB,RMB,CNH-CNY spread,-4.5pips,0.000300000000000189,3.00000000000189,pips,+3.00pips,,,-0.0004499999999998394,-0.0007500000000000284,2,440
F. Commodities,Commodities,Brent crude,108.7700,0.5499999999999972,0.5499999999999972,pts,+0.5500,0.005082239881722391,+0.01%,109.6,107.75,85,510
F. Commodities,Commodities,WTI crude,97.1100,0.9899999999999949,0.9899999999999949,pts,+0.9900,0.010299625468164741,+0.01%,97.31,96.06,102,520
F. Commodities,Commodities,Gold,4688.5050,17.74499999999989,17.74499999999989,pts,+17.7450,0.0037991675872876985,+0.00%,4700.325,4670.76,105,530
F. Commodities,Commodities,Copper,6.0175,0.01750000000000007,0.01750000000000007,pts,+0.0175,0.0029166666666666785,+0.00%,6.036,4.98,103,540
