Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.7825%,0.0010500000000002174,0.10500000000002174,bp,+0.11bp,,,3.7846,3.77085,59,10
A. Rates,Nominal UST,UST 5Y,3.9202%,0.0009000000000001229,0.09000000000001229,bp,+0.09bp,,,3.92285,3.9105,62,20
A. Rates,Nominal UST,UST 10Y,4.3046%,0.0019499999999998963,0.19499999999998963,bp,+0.19bp,,,4.3126,4.3007,61,30
A. Rates,Nominal UST,UST 30Y,4.9112%,0.0025500000000002743,0.2550000000000274,bp,+0.26bp,,,4.9229,4.9076,62,40
A. Rates,Curve,UST 2s10s spread,52.21bp,0.08999999999996788,0.08999999999996788,bp,+0.09bp,,,53.77500000000004,52.099999999999994,58,60
A. Rates,Curve,UST 5s10s spread,38.44bp,0.10499999999997556,0.10499999999997556,bp,+0.10bp,,,39.130000000000024,38.27500000000001,61,70
A. Rates,Curve,UST 5s30s spread,99.10bp,0.16500000000002046,0.16500000000002046,bp,+0.17bp,,,100.27500000000002,98.93,62,80
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.7656,0.0078125,0.0078125,pts,+0.0078,7.529553497477599e-05,+0.00%,103.77734375,103.75,60,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.2812,0.015625,0.015625,pts,+0.0156,0.0001443209698369173,+0.00%,108.3046875,108.2578125,60,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,111.2344,0.0,0.0,pts,0.0000,0.0,+0.00%,111.265625,111.1875,60,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,114.1250,0.0,0.0,pts,0.0000,0.0,+0.00%,114.15625,113.9375,60,240
D. USD & FX,USD,DXY,98.5100,-0.036000000000001364,-0.036000000000001364,pts,-0.0360,-0.00036531163111644675,-0.00%,98.577,98.493,60,310
D. USD & FX,FX,EURUSD,1.1719,9.999999999998899e-05,0.9999999999998899,pips,+1.00pips,8.533879501620497e-05,+0.00%,1.1723,1.1712,63,320
D. USD & FX,FX,USDJPY,159.395,0.045000000000015916,4.500000000001592,pips,+4.50pips,0.000282397238782654,+0.00%,159.455,159.335,61,330
D. USD & FX,FX,GBPUSD,1.3533,0.0018500000000001293,18.500000000001293,pips,+18.50pips,0.001368950717774256,+0.00%,1.35375,1.3511,61,340
D. USD & FX,FX,AUDUSD,0.7153,0.000300000000000078,3.00000000000078,pips,+3.00pips,0.00041958041958052865,+0.00%,0.71535,0.71475,61,350
E. RMB,RMB,USDCNH,6.8331,0.0,0.0,pips,0.00pips,0.0,+0.00%,6.8349,6.8327,62,420
F. Commodities,Commodities,Brent crude,105.8800,1.3599999999999994,1.3599999999999994,pts,+1.3600,0.01301186375813241,+0.01%,106.67,104.07,72,510
F. Commodities,Commodities,WTI crude,94.8800,1.3399999999999892,1.3399999999999892,pts,+1.3400,0.014325422279238711,+0.01%,95.52,93.08,60,520
F. Commodities,Commodities,Gold,4709.2527,-16.69234999999935,-16.69234999999935,pts,-16.6923,-0.0035320660735576382,-0.00%,4728.9,4705.885,61,530
F. Commodities,Commodities,Copper,4.9800,-1.0504999999999995,-1.0504999999999995,pts,-1.0505,-0.1741978277091451,-0.17%,6.034,4.98,61,540
