Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.8043%,0.0017000000000000348,0.17000000000000348,bp,+0.17bp,,,3.81315,3.79195,98,10
A. Rates,Nominal UST,UST 5Y,3.9575%,0.01529999999999987,1.529999999999987,bp,+1.53bp,,,3.9599,3.9405,99,20
A. Rates,Nominal UST,UST 10Y,4.3465%,0.01794999999999991,1.794999999999991,bp,+1.79bp,,,4.3485,4.3236,100,30
A. Rates,Nominal UST,UST 30Y,4.9538%,0.01855000000000029,1.8550000000000288,bp,+1.86bp,,,4.95535,4.9322,100,40
A. Rates,Curve,UST 2s10s spread,54.22bp,1.4299999999999926,1.4299999999999926,bp,+1.43bp,,,54.535,52.32000000000001,96,60
A. Rates,Curve,UST 5s10s spread,38.89bp,0.26500000000000057,0.26500000000000057,bp,+0.27bp,,,39.219999999999985,38.309999999999974,99,70
A. Rates,Curve,UST 5s30s spread,99.63bp,0.3250000000000455,0.3250000000000455,bp,+0.33bp,,,100.04999999999997,98.78999999999998,99,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3115%,0.0035000000000000586,0.35000000000000586,bp,+0.35bp,,,1.3185,1.2995,93,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8965%,0.013500000000000068,1.3500000000000068,bp,+1.35bp,,,1.8985,1.8815,98,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6995%,0.015000000000000124,1.5000000000000124,bp,+1.50bp,,,2.701,2.6815,100,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6450%,0.00904999999999978,0.904999999999978,bp,+0.90bp,,,2.6476499999999996,2.6315,93,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4500%,0.004449999999999843,0.4449999999999843,bp,+0.44bp,,,2.4545000000000003,2.4395499999999997,98,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2543%,0.003550000000000164,0.3550000000000164,bp,+0.36bp,,,2.2580499999999994,2.2501999999999995,100,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.7109,-0.01171875,-0.01171875,pts,-0.0117,-0.00011298158400180771,-0.00%,103.73828125,103.69921875,116,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.1250,-0.046875,-0.046875,pts,-0.0469,-0.00043333814820164666,-0.00%,108.1953125,108.109375,116,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,110.9688,-0.109375,-0.109375,pts,-0.1094,-0.0009846673231115486,-0.00%,111.09375,110.9375,116,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.4688,-0.28125,-0.28125,pts,-0.2812,-0.0024725274725274724,-0.00%,113.78125,113.46875,116,240
D. USD & FX,USD,DXY,98.5680,0.1769999999999925,0.1769999999999925,pts,+0.1770,0.0017989450254595693,+0.00%,98.575,98.391,112,310
D. USD & FX,FX,EURUSD,1.1713,-0.0019000000000000128,-19.000000000000128,pips,-19.00pips,-0.0016195022161609382,-0.00%,1.1732,1.1712,125,320
D. USD & FX,FX,USDJPY,159.515,0.21999999999999886,21.999999999999886,pips,+22.00pips,0.0013810854075771298,+0.00%,159.555,159.295,125,330
D. USD & FX,FX,GBPUSD,1.3524,-0.0029000000000001247,-29.000000000001247,pips,-29.00pips,-0.0021396687202568524,-0.00%,1.35535,1.35235,125,340
D. USD & FX,FX,AUDUSD,0.7180,-0.0012499999999999734,-12.499999999999734,pips,-12.50pips,-0.0017379214459506062,-0.00%,0.7194,0.7176,125,350
E. RMB,RMB,USDCNY,6.8296,0.000900000000000567,9.00000000000567,pips,+9.00pips,0.00013179764667988066,+0.00%,6.8303,6.8281,11,410
E. RMB,RMB,USDCNH,6.8302,0.0039999999999995595,39.999999999995595,pips,+40.00pips,0.0005859775570595001,+0.00%,6.8306,6.8222,125,420
E. RMB,RMB,CNH-CNY spread,6.5pips,0.0013999999999994017,13.999999999994017,pips,+14.00pips,,,0.0006499999999993733,-0.0007500000000000284,11,440
F. Commodities,Commodities,Brent crude,109.2700,1.0499999999999972,1.0499999999999972,pts,+1.0500,0.009702457956015497,+0.01%,109.6,107.75,102,510
F. Commodities,Commodities,WTI crude,97.3200,1.1999999999999886,1.1999999999999886,pts,+1.2000,0.012484394506866298,+0.01%,97.35,96.06,116,520
F. Commodities,Commodities,Gold,4678.7550,7.994999999999891,7.994999999999891,pts,+7.9950,0.0017117128689977414,+0.00%,4700.325,4670.745,117,530
