Section,Group,Asset,Level,Change,Change Display,Change Unit,Change Text,% Change,% Change Text,High,Low,Obs,Order
A. Rates,Nominal UST,UST 2Y,3.8380%,-0.0030999999999998806,-0.30999999999998806,bp,-0.31bp,,,3.8483,3.83085,87,10
A. Rates,Nominal UST,UST 5Y,3.9802%,-0.0017499999999999183,-0.17499999999999183,bp,-0.17bp,,,3.9924,3.97145,86,20
A. Rates,Nominal UST,UST 10Y,4.3465%,-0.009999999999999787,-0.9999999999999787,bp,-1.00bp,,,4.3625,4.34055,86,30
A. Rates,Nominal UST,UST 30Y,4.9358%,-0.01699999999999946,-1.699999999999946,bp,-1.70bp,,,4.9559,4.9301,87,40
A. Rates,Curve,UST 2s10s spread,50.84bp,-0.6899999999999906,-0.6899999999999906,bp,-0.69bp,,,51.73999999999994,50.73999999999997,86,60
A. Rates,Curve,UST 5s10s spread,36.63bp,-0.8249999999999886,-0.8249999999999886,bp,-0.82bp,,,37.51000000000002,36.50499999999997,86,70
A. Rates,Curve,UST 5s30s spread,95.56bp,-1.5249999999999488,-1.5249999999999488,bp,-1.52bp,,,97.085,95.56000000000004,86,80
B. Real & Inflation,Real Yield / TIPS,TIPS real 5Y,1.3300%,-0.01749999999999985,-1.749999999999985,bp,-1.75bp,,,1.357,1.3255,72,110
B. Real & Inflation,Real Yield / TIPS,TIPS real 10Y,1.8905%,-0.020499999999999963,-2.0499999999999963,bp,-2.05bp,,,1.92,1.8905,73,120
B. Real & Inflation,Real Yield / TIPS,TIPS real 30Y,2.6790%,-0.02100000000000035,-2.100000000000035,bp,-2.10bp,,,2.7045,2.679,73,130
B. Real & Inflation,Breakeven Inflation,BEI 5Y,2.6502%,0.01574999999999971,1.5749999999999709,bp,+1.57bp,,,2.65645,2.6299,72,150
B. Real & Inflation,Breakeven Inflation,BEI 10Y,2.4560%,0.010499999999999954,1.0499999999999954,bp,+1.05bp,,,2.4560000000000004,2.439,73,160
B. Real & Inflation,Breakeven Inflation,BEI 30Y,2.2568%,0.004000000000000892,0.4000000000000892,bp,+0.40bp,,,2.25795,2.24875,73,170
C. Treasury Futures,Treasury Futures,TU 2Y Treasury Fut,103.6523,0.00390625,0.00390625,pts,+0.0039,3.7687495289063086e-05,+0.00%,103.671875,103.6328125,126,210
C. Treasury Futures,Treasury Futures,FV 5Y Treasury Fut,108.0156,0.0,0.0,pts,0.0000,0.0,+0.00%,108.0625,107.96875,126,220
C. Treasury Futures,Treasury Futures,TY 10Y Treasury Fut,110.8594,0.015625,0.015625,pts,+0.0156,0.000140964195094446,+0.00%,110.9375,110.765625,126,230
C. Treasury Futures,Treasury Futures,US 30Y Treasury Fut,113.5312,0.15625,0.15625,pts,+0.1562,0.0013781697905181918,+0.00%,113.71875,113.34375,126,240
D. USD & FX,USD,DXY,98.6120,-0.0020000000000095497,-0.0020000000000095497,pts,-0.0020,-2.028109599052416e-05,-0.00%,98.678,98.568,122,310
D. USD & FX,FX,EURUSD,1.1714,-5.0000000000105516e-05,-0.5000000000010552,pips,-0.50pips,-4.268214605839388e-05,-0.00%,1.17205,1.1706,126,320
D. USD & FX,FX,USDJPY,159.605,0.060000000000002274,6.000000000000227,pips,+6.00pips,0.0003760694474913177,+0.00%,159.675,159.51,126,330
D. USD & FX,FX,GBPUSD,1.3520,0.0009500000000000064,9.500000000000064,pips,+9.50pips,0.0007031307823255172,+0.00%,1.3528,1.35085,126,340
D. USD & FX,FX,AUDUSD,0.7170,-0.0010000000000000009,-10.000000000000009,pips,-10.00pips,-0.0013927576601671322,-0.00%,0.71895,0.7168,126,350
E. RMB,RMB,USDCNY,6.8387,0.0012500000000006395,12.500000000006395,pips,+12.50pips,0.00018281669335799743,+0.00%,6.8387,6.83355,16,410
E. RMB,RMB,USDCNH,6.8398,0.0019000000000000128,19.000000000000128,pips,+19.00pips,0.000277863086620163,+0.00%,6.84085,6.83475,126,420
E. RMB,RMB,CNH-CNY spread,11.0pips,-0.0003500000000000725,-3.5000000000007248,pips,-3.50pips,,,0.0019000000000000128,0.00039999999999995595,16,440
F. Commodities,Commodities,Brent crude,110.8800,-0.38000000000000966,-0.38000000000000966,pts,-0.3800,-0.003415423332734223,-0.00%,111.85,110.41,110,510
F. Commodities,Commodities,WTI crude,99.3500,-0.480000000000004,-0.480000000000004,pts,-0.4800,-0.0048081738956225984,-0.00%,100.48,99.03,126,520
F. Commodities,Commodities,Gold,4600.0250,15.835000000000036,15.835000000000036,pts,+15.8350,0.0034542634576664663,+0.00%,4608.435,4580.62,126,530
F. Commodities,Commodities,Copper,5.9465,0.014000000000000234,0.014000000000000234,pts,+0.0140,0.0023598820058997444,+0.00%,5.9465,5.9145,30,540
